transaction_id,customer_id,first_name,last_name,transaction_date,transaction_year,transaction_month,transaction_day,signup_date,signup_year,signup_month,signup_day,amount,country,clean_currency,transaction_type,merchant_category,payment_method,issuing_bank,status,fraud_flag,account_balance
TXN100135,CUST1668,Robert,Robles,"2025-10-04 00:00:00",2025,10,4,"2024-02-13 00:00:00",2024,2,13,-2203.60,Philippines,PHP,refund,Groceries,PayMaya,OCBC,Failed,Unknown,130799.69
TXN102368,CUST1694,Robert,Williams,"2024-02-03 00:20:00",2024,2,3,"2025-02-11 00:00:00",2025,2,11,-198.64,"United States",USD,refund,Investment,"Debit Card",DBS,Completed,Unknown,234576.20
TXN104079,CUST1023,Megan,Joyce,"2023-06-09 00:00:00",2023,6,9,"2023-05-17 00:00:00",2023,5,17,124.64,Philippines,PHP,Unknown,Dining,"Credit Card",RCBC,Unknown,Unknown,206111.58
TXN100610,CUST1828,Robert,Martinez,"2026-04-30 00:00:00",2026,4,30,"2025-10-01 00:00:00",2025,10,1,949.73,Japan,JPY,purchase,Education,Cash,Chase,Unknown,0,123323.33
TXN104471,CUST1201,Caleb,Hernandez,"2025-09-20 00:00:00",2025,9,20,"2023-09-19 00:00:00",2023,9,19,569.86,"United States",USD,purchase,Other,Cash,Chase,Completed,0,50402.23
TXN104642,CUST1173,Sandra,Davis,"2024-10-25 00:00:00",2024,10,25,"2023-12-16 00:00:00",2023,12,16,606.58,Unknown,Unknown,withdrawal,Unknown,GCash,Landbank,Unknown,0,212358.50
TXN101837,CUST1836,James,Davenport,"2023-09-09 00:00:00",2023,9,9,"2024-10-08 00:00:00",2024,10,8,2268.73,Singapore,SGD,purchase,Unknown,GCash,Landbank,Completed,0,216592.34
TXN105783,CUST1552,Matthew,Nelson,"2025-08-22 00:00:00",2025,8,22,"2024-07-23 00:00:00",2024,7,23,199.25,"United States",USD,deposit,Groceries,Cash,Chase,Completed,0,43577.81
TXN105017,CUST1146,Jeremy,Coleman,"2023-03-14 00:00:00",2023,3,14,"2022-11-26 00:00:00",2022,11,26,142.58,Philippines,PHP,purchase,Dining,Cash,UnionBank,Completed,0,117556.93
TXN100473,CUST1739,John,Mack,"2024-12-27 00:00:00",2024,12,27,"2025-05-18 00:00:00",2025,5,18,-3290.26,Philippines,PHP,refund,Electronics,"Debit Card",Metrobank,Unknown,0,184526.78
TXN105921,CUST1253,Andrew,Harper,"2025-11-25 03:34:00",2025,11,25,"2023-04-29 00:00:00",2023,4,29,NULL,Japan,JPY,purchase,"ATM Withdrawal",PayMaya,DBS,Completed,0,244307.14
TXN104368,CUST1608,Christina,Mills,"2026-02-09 00:00:00",2026,2,9,"2024-12-13 00:00:00",2024,12,13,-123.23,Unknown,Unknown,refund,Investment,"Bank Transfer",Metrobank,Reversed,0,NULL
TXN100398,CUST1019,Joseph,Martinez,"2026-04-15 00:00:00",2026,4,15,"2023-04-24 00:00:00",2023,4,24,NULL,Philippines,PHP,Unknown,Groceries,E-Wallet,RCBC,Pending,0,73640.36
TXN102267,CUST1599,Joshua,Hernandez,"2024-12-25 00:00:00",2024,12,25,"2025-11-25 00:00:00",2025,11,25,566.11,"United States",USD,purchase,Entertainment,"Debit Card",Chase,Reversed,0,735.38
TXN100276,CUST1806,Sheila,Wilson,"2025-07-21 00:00:00",2025,7,21,"2024-10-21 00:00:00",2024,10,21,1696.87,"United States",USD,purchase,Groceries,"Debit Card",BPI,Reversed,0,223854.11
TXN103978,CUST1665,Michael,Mckinney,"2025-01-16 22:42:00",2025,1,16,"2025-07-08 00:00:00",2025,7,8,-342.59,Japan,JPY,refund,Other,E-Wallet,DBS,Completed,0,71383.99
TXN105826,CUST1037,Carlos,Whitney,"2026-05-14 14:56:00",2026,5,14,"2024-06-19 00:00:00",2024,6,19,762.99,Philippines,PHP,transfer,Fuel,Cash,Chase,Completed,0,240377.11
TXN101637,CUST1648,Erica,Smith,"2023-02-20 00:00:00",2023,2,20,"2025-06-01 00:00:00",2025,6,1,3978.08,Philippines,PHP,deposit,Travel,Cash,DBS,Pending,0,161363.94
TXN103492,CUST1349,Amanda,Pratt,"2026-04-03 00:00:00",2026,4,3,"2025-09-16 00:00:00",2025,9,16,588.83,Singapore,SGD,fee,Unknown,Cash,UnionBank,Failed,0,156016.95
TXN104510,CUST1328,Jacob,Mckee,"2024-07-04 03:33:00",2024,7,4,"2024-12-13 00:00:00",2024,12,13,1470.31,Unknown,Unknown,fee,Investment,PayMaya,DBS,Unknown,Unknown,201069.23
TXN104299,CUST1663,James,Bush,"2024-01-07 14:00:00",2024,1,7,"2025-05-13 00:00:00",2025,5,13,-580.34,Philippines,PHP,refund,Dining,"Credit Card",RCBC,Reversed,Unknown,71708.62
TXN102983,CUST1508,Roy,Johnson,"2023-03-07 00:00:00",2023,3,7,"2024-09-15 00:00:00",2024,9,15,740.71,Philippines,PHP,withdrawal,dining,"Debit Card",UnionBank,Pending,0,170952.30
TXN101857,CUST1474,Abigail,Owens,"2023-12-05 00:00:00",2023,12,5,"2022-09-06 00:00:00",2022,9,6,NULL,"United States",USD,Unknown,"P2P Transfer",Unknown,RCBC,Unknown,0,NULL
TXN100246,CUST1096,Sean,Murray,"2024-03-02 00:00:00",2024,3,2,"2024-09-10 00:00:00",2024,9,10,NULL,Singapore,SGD,transfer,"P2P Transfer",Cash,DBS,Completed,0,176167.90
TXN105244,CUST1225,William,Evans,"2024-02-21 00:00:00",2024,2,21,"2023-09-22 00:00:00",2023,9,22,NULL,Singapore,SGD,withdrawal,Investment,"Bank Transfer",BPI,Completed,0,4960.68
TXN104151,CUST1114,Natasha,Williams,"2026-02-08 16:41:00",2026,2,8,"2024-08-17 00:00:00",2024,8,17,693.96,"United States",USD,deposit,"Government Fees",PayMaya,OCBC,Failed,Unknown,72589.79
