transaction_id,customer_id,customer_name,email,signup_date,transaction_date,amount,currency,transaction_type,merchant_category,payment_method,issuing_bank,country,status,fraud_flag,account_balance_after
TXN100135,CUST1668,Robert Robles,angela14@example.net,2024-02-13,"October 04, 2025",-2203.6,USD,REFUND,groceries,PayMaya,OCBC,Philippines ,Failed,,130799.69
TXN102368,CUST1694,Robert Williams,tross@example.com,2025-02-11,2024/02/03 00:20,-198.64,USD,REFUND,Investment,DEBIT CARD,DBS,United States  ,COMPLETED,,234576.2
TXN104079,CUST1023,Megan Joyce,brownjessica@example.org,2023-05-17,09-06-2023,₱124.64,JPY,,Dining,Credit Card,RCBC,PHL,,,206111.58
TXN100610,CUST1828,Robert Martinez,miaprice@example.com,2025-10-01,"April 30, 2026",949.73,JPY,purchase,Education,cash  ,Chase,JP,,No,123323.33
TXN104471,CUST1201,Caleb Hernandez,fernandodonovan@example.org,2023-09-19,2025-09-20,569.86,,purchase,Others,cash,Chase,United States,COMPLETED,0,50402.23
TXN104642,CUST1173,Sandra Davis,lisawilkerson@example.org,12/16/2023,10/25/2024,606.58,php,Withdrawal,,GCash,Landbank,,,No,212358.5
TXN101837,CUST1836,James Davenport,andrewjohnson@example.net,2024-10-08,2023-09-09,2268.73,USD,Purchase,,GCash,Landbank,Singapore  ,Completed,FALSE,216592.34
TXN105783,CUST1552,Matthew Nelson,xnorman@example.net,2024-07-23,22-08-2025,199.25,JPY,Deposit,GROCERIES,Cash,Chase,USA,completed,FALSE,43577.81
TXN105017,CUST1146,Jeremy Coleman,nperry@example.net,2022-11-26,"March 14, 2023",142.58,PHP ,Purchase,Dining,Cash,UnionBank,Philippines ,completed,No,117556.93
TXN100473,CUST1739,John Mack,simmonsphillip@example.net,2025-05-18,"December 27, 2024",-3290.26,Php,REFUND,Electronics,DEBIT CARD,Metrobank,Philippines,,FALSE,184526.78
TXN105921,CUST1253,Andrew Harper,sanchezbradley@example.com,2023-04-29,2025/11/25 03:34,,PHP ,Purchase,ATM Withdrawal,PayMaya,DBS,JP,completed,FALSE,244307.14
TXN104368,CUST1608,Christina Mills,ana92@example.net,2024-12-13,2026-02-09,-123.23,PHP ,REFUND,Investment,Bank Transfer,Metrobank,,Reversed,FALSE,
TXN100398,CUST1019,Joseph Martinez,calebsmith@example.net,2023-04-24,04/15/2026,,PHP ,,GROCERIES,e-wallet,RCBC,PHL,Pending  ,No,73640.36
TXN102267,CUST1599,Joshua Hernandez,ericnunez@example.com,2025-11-25,12/25/2024,566.11,SGD,Purchase,Entertainment,DEBIT CARD,Chase,US,Reversed,FALSE,735.38
TXN100276,CUST1806,Sheila Wilson,andrewnguyen@example.com,2024-10-21,21-07-2025,1696.87,JPY,Purchase,GROCERIES,DEBIT CARD,BPI,United States,Reversed,No,223854.11
TXN103978,CUST1665,Michael Mckinney,oruiz@example.org,2025-07-08,2025/01/16 22:42,-342.59,JPY,Refund,Others,e-wallet,DBS,JP,completed,FALSE,71383.99
TXN105826,CUST1037,Carlos Whitney,joycearnold@example.com,06/19/2024,2026/05/14 14:56,762.99,USD,Transfer,Fuel,cash,Chase,PH,completed,FALSE,240377.11
TXN101637,CUST1648,Erica Smith,matthew99@example.org,2025-06-01,20-02-2023,3978.08,PHP ,Deposit,Travel,cash,DBS,PHL,Pending,No,161363.94
TXN103492,CUST1349,Amanda Pratt,pwalker@example.com,2025-09-16,"April 03, 2026",588.83,USD,Fee,,Cash,UnionBank,SG,Failed,FALSE,156016.95
TXN104510,CUST1328,Jacob Mckee,brettgarrett@example.net,2024-12-13,2024/07/04 03:33,1470.31,PHP ,Fee,Investment,PayMaya,DBS,,,,201069.23
TXN104299,CUST1663,James Bush,tjensen@example.com,2025-05-13,2024/01/07 14:00,₱-580.34,SGD,Refund,Dining,Credit Card,RCBC,Philippines ,Reversed,,71708.62
TXN102983,CUST1508,Roy Johnson,andersonbrittany@example.org,2024-09-15,03/07/2023,740.71,Php  ,Withdrawal,dining ,Debit Card,UnionBank,Philippines,Pending,0,170952.3
TXN101857,CUST1474,Abigail Owens,billmcfarland@example.net,2022-09-06,05/12/23,N/A,PHP,,P2P Transfer,,RCBC,United States,,0,
TXN100246,CUST1096,Sean Murray,lopezmichael@example.com,2024-09-10,02/03/24,N/A,PHP,Transfer,P2P Transfer,Cash,DBS,Singapore,completed,No,176167.9
TXN105244,CUST1225,William Evans,janet75@example.com,2023-09-22,2024-02-21,,PHP ,Withdrawal,Investment,Bank Transfer,BPI,SG,completed,0,4960.68
TXN104151,CUST1114,Natasha Williams,swall@example.org,2024-08-17,2026/02/08 16:41,693.96,PHP ,Deposit,Government Fees,PayMaya,OCBC,US,Failed,,72589.79
TXN101629,CUST1749,Michael Gregory,shannon51@example.org,2025-08-16,23/11/25,1685.26,,Fee,ATM Withdrawal,,DBS,United States,Failed,0,122603.44
TXN103665,CUST1665,Michael Mckinney,oruiz@example.org,2025-07-08,2026/04/19 03:39,395.39,SGD,Fee,Education,DEBIT CARD,OCBC,Japan,completed,FALSE,206641.24
TXN105322,CUST1311,Lisa Glenn,washingtonjames@example.com,2025-11-16,"June 02, 2023",571.81,PHP ,Purchase,Travel,GCash,BDO,Singapore,Reversed,No,84046.81
TXN101146,CUST1450,Sheila Jones,vflores@example.com,2022-09-06,15/02/23,N/A,Php,Refund,Insurance,DEBIT CARD,Landbank,Japan,,0,4071.66
TXN105180,CUST1872,Chelsea Johnson,pwong@example.org,2024-01-11,2025-05-16,-193.50,SGD,Refund,Healthcare,PayMaya,BDO,PH,Failed,,120618.12
TXN102414,CUST1482,Jessica Garcia,elucas@example.net,2024-11-26,"November 24, 2025",-228.29,,REFUND,P2P Transfer,Credit Card,BDO,Singapore,COMPLETED,No,46483.2
TXN104575,CUST1472,Nancy Gonzalez,kellythompson@example.net,2022-10-07,09-01-2025,129.92,JPY,,Entertainment,e-wallet,BPI,Philippines ,Pending,,155028.15
TXN104781,CUST1898,Neil Singh,abigailfernandez@example.org,2022-10-30,2024/01/10 11:53,751.84,SGD,Purchase,Investment,DEBIT CARD,RCBC,Philippines,Pending,FALSE,30836.04
TXN104592,CUST1186,James Gonzales,lmorgan@example.com,2024-12-04,09/04/26,-377.56,PHP,Refund,Entertainment,Credit Card,UnionBank,USA,Completed,,153271.67
